GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,edu.ntnu.g14.dao,UserDAO,128,116,8,0,33,20,12,6,8,6
demo,edu.ntnu.g14.dao,DAOTools,3,151,0,0,1,34,1,4,1,4
demo,edu.ntnu.g14.dao,BudgetDAO,14,55,2,2,4,15,3,4,1,4
demo,edu.ntnu.g14.dao,AccountDAO,184,0,18,0,46,0,19,0,10,0
demo,edu.ntnu.g14.dao,IndexedDataFile,272,1110,48,98,75,268,38,78,7,36
demo,edu.ntnu.g14.dao,TransactionDAO,110,0,8,0,28,0,12,0,8,0
demo,edu.ntnu.g14.dao,InvoiceDAO,104,0,2,0,34,0,10,0,9,0
demo,edu.ntnu.g14.frontend,EditAccountDialog,286,0,20,0,69,0,18,0,8,0
demo,edu.ntnu.g14.frontend,RegisterSecondScene,125,0,2,0,24,0,5,0,4,0
demo,edu.ntnu.g14.frontend,CreateNewBudgetScene,1068,0,46,0,230,0,47,0,24,0
demo,edu.ntnu.g14.frontend,AccountOverviewScene,639,0,24,0,122,0,32,0,20,0
demo,edu.ntnu.g14.frontend,ApplicationObjects,1177,0,10,0,252,0,59,0,54,0
demo,edu.ntnu.g14.frontend,TransactionDialog,553,0,28,0,128,0,30,0,16,0
demo,edu.ntnu.g14.frontend,AccountOverviewScene.new EventHandler() {...},19,0,0,0,4,0,2,0,2,0
demo,edu.ntnu.g14.frontend,ApplicationObjects.new TableCell() {...},50,0,6,0,13,0,5,0,2,0
demo,edu.ntnu.g14.frontend,ApplicationObjects.new EventHandler() {...},13,0,0,0,4,0,2,0,2,0
demo,edu.ntnu.g14.frontend,ApplicationObjects.new ListCell() {...},80,0,9,0,20,0,8,0,2,0
demo,edu.ntnu.g14.frontend,GeneralOverviewScene,663,0,26,0,138,0,35,0,22,0
demo,edu.ntnu.g14.frontend,RegisterThirdScene,69,0,0,0,15,0,4,0,4,0
demo,edu.ntnu.g14.frontend,TransferScene,390,0,0,0,60,0,8,0,8,0
demo,edu.ntnu.g14.frontend,InvoiceScene.new EventHandler() {...},19,0,0,0,4,0,2,0,2,0
demo,edu.ntnu.g14.frontend,TransactionDialog.2.new DateCell() {...},23,0,2,0,6,0,3,0,2,0
demo,edu.ntnu.g14.frontend,AccountCell,180,0,5,0,34,0,7,0,3,0
demo,edu.ntnu.g14.frontend,PaymentScene,457,0,0,0,67,0,8,0,8,0
demo,edu.ntnu.g14.frontend,InvoiceScene.new Callback() {...},11,0,0,0,2,0,2,0,2,0
demo,edu.ntnu.g14.frontend,BudgetingScene.new TableCell() {...},207,0,18,0,39,0,14,0,5,0
demo,edu.ntnu.g14.frontend,InvoiceScene.2.new DateCell() {...},23,0,2,0,6,0,3,0,2,0
demo,edu.ntnu.g14.frontend,AccountDialog.new EventHandler() {...},13,0,2,0,4,0,3,0,2,0
demo,edu.ntnu.g14.frontend,MainPageScene.new EventHandler() {...},19,0,0,0,4,0,2,0,2,0
demo,edu.ntnu.g14.frontend,LoginUserScene,229,0,10,0,52,0,13,0,8,0
demo,edu.ntnu.g14.frontend,LoginForgotPasswordFirstScene,169,0,2,0,31,0,7,0,6,0
demo,edu.ntnu.g14.frontend,InvoiceScene,510,0,8,0,105,0,17,0,13,0
demo,edu.ntnu.g14.frontend,ManageUserChangePasswordScene,347,0,6,0,70,0,14,0,11,0
demo,edu.ntnu.g14.frontend,PaymentConfirmationScene,398,0,0,0,75,0,13,0,13,0
demo,edu.ntnu.g14.frontend,UserManagementEditUserScene,401,0,8,0,86,0,16,0,12,0
demo,edu.ntnu.g14.frontend,AccountDialog,313,0,18,0,70,0,16,0,7,0
demo,edu.ntnu.g14.frontend,TransferScene.new EventHandler() {...},19,0,0,0,4,0,2,0,2,0
demo,edu.ntnu.g14.frontend,DeleteUserScene,343,0,4,0,75,0,13,0,11,0
demo,edu.ntnu.g14.frontend,LoginChooseUserScene,178,0,10,0,40,0,11,0,6,0
demo,edu.ntnu.g14.frontend,TransactionDialog.new Callback() {...},11,0,0,0,2,0,2,0,2,0
demo,edu.ntnu.g14.frontend,TransactionDialog.new StringConverter() {...},25,0,6,0,7,0,6,0,3,0
demo,edu.ntnu.g14.frontend,GeneralOverviewScene.new EventHandler() {...},19,0,0,0,4,0,2,0,2,0
demo,edu.ntnu.g14.frontend,MainPageScene,433,0,10,0,71,0,15,0,10,0
demo,edu.ntnu.g14.frontend,UserManagementScene,359,0,2,0,90,0,13,0,12,0
demo,edu.ntnu.g14.frontend,PaymentConfirmationScene.new EventHandler() {...},19,0,0,0,4,0,2,0,2,0
demo,edu.ntnu.g14.frontend,RegisterFirstScene,242,0,12,0,34,0,10,0,4,0
demo,edu.ntnu.g14.frontend,PaymentScene.new EventHandler() {...},19,0,0,0,4,0,2,0,2,0
demo,edu.ntnu.g14.frontend,BudgetSuggestionsScene,1051,0,60,0,219,0,53,0,23,0
demo,edu.ntnu.g14.frontend,BudgetingScene,922,0,44,0,203,0,70,0,48,0
demo,edu.ntnu.g14.frontend,LoginForgotPasswordSecondScene,143,0,4,0,24,0,7,0,5,0
demo,edu.ntnu.g14.Overview,OverviewMonthly,21,0,0,0,7,0,2,0,2,0
demo,edu.ntnu.g14.Overview,OverviewYearly,21,0,0,0,7,0,2,0,2,0
demo,edu.ntnu.g14,Transaction.TransactionBuilder,100,0,22,0,25,0,20,0,9,0
demo,edu.ntnu.g14,Account.AccountBuilder,18,51,7,7,3,14,7,7,0,7
demo,edu.ntnu.g14,HouseholdCategory,0,21,0,0,0,4,0,1,0,1
demo,edu.ntnu.g14,Payment,45,0,4,0,14,0,7,0,5,0
demo,edu.ntnu.g14,Personalia,62,33,6,0,13,11,7,6,4,6
demo,edu.ntnu.g14,FileManagement,332,0,22,0,81,0,24,0,13,0
demo,edu.ntnu.g14,GenderCategory,0,15,0,0,0,3,0,1,0,1
demo,edu.ntnu.g14,Transaction,186,56,18,6,42,14,22,2,10,2
demo,edu.ntnu.g14,EmailVerification,124,0,0,0,32,0,2,0,2,0
demo,edu.ntnu.g14,BankApplication,39,0,0,0,13,0,5,0,5,0
demo,edu.ntnu.g14,BudgetSuggestion,337,0,11,0,52,0,11,0,4,0
demo,edu.ntnu.g14,BudgetItem,106,109,8,6,36,24,20,10,14,9
demo,edu.ntnu.g14,BudgetCategory,3,88,0,0,1,15,1,2,1,2
demo,edu.ntnu.g14,EmailVerification.new Authenticator() {...},9,0,0,0,2,0,2,0,2,0
demo,edu.ntnu.g14,Login,8,21,0,0,4,8,2,4,2,4
demo,edu.ntnu.g14,User,433,79,26,6,97,16,55,12,42,9
demo,edu.ntnu.g14,AccountCategory,0,27,0,0,0,5,0,1,0,1
demo,edu.ntnu.g14,Budget,85,285,11,21,26,65,20,19,11,12
demo,edu.ntnu.g14,Invoice,139,42,12,4,30,13,17,3,9,3
demo,edu.ntnu.g14,Account,31,189,8,14,6,50,9,15,1,12
